NestID,FemaleID,Female,Year,MaleID,IbuttonFile,Jdate,IncubateDay,Sunrise.Seconds,StartTime,EndTime,MidTime,Length,ClosestHourMid(sec),Length.Minute,OnOrOff,FirstOff,StartTemp,EndTemp,MidTemp,TempRow,Ambient,AmbientNL,AmbientDH,Clutch Size,Sampled
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,18480,18960,18720,480,18000,8,Off,Yes - On All Night,20.5,18,19.25,21,18.5,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,18960,19800,19380,840,18000,14,On,No,18,20,19,21,18.5,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,19800,20160,19980,360,21600,6,Off,No,20,18.5,19.25,21,17.9,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,20160,20880,20520,720,21600,12,On,No,18.5,20,19.25,21,17.9,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,20880,21360,21120,480,21600,8,Off,No,20,18,19,21,17.9,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,21360,22320,21840,960,21600,16,On,No,18,20.5,19.25,21,17.9,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,22320,22800,22560,480,21600,8,Off,No,20.5,19,19.75,21,17.9,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,22800,24240,23520,1440,25200,24,On,No,19,21,20,21,18.5,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,24240,24720,24480,480,25200,8,Off,No,21,19.5,20.25,21,18.5,14.6,25.4,2,1
2011-01,.IG,F2011.IG,2011,2011.BG,xBG-1 Early,144,2,17400,24720,25920,25320,1200,25200,20,On,No,19.5,21,20.25,21,18.5,14.6,25.4,2,1
